"ID","Type","Vulnerable","VulnWeight","VulnTot","Criminal","CrimWeight","CrimTot","Suspicious","SuspWeight","SuspTot","DetainState","IgnoreHistory","DetainHistory","TypeW"
24,1,0.17,0,0.17,0.687358056411841,0,0.687358056411841,0.419475913546242,0,0.419475913546242,"042",0,0,"Not Target"
25,1,0.65,0,0.65,0.54718093504684,0,0.54718093504684,0.477423346396366,0,0.477423346396366,"048",0,0,"Not Target"
26,1,0.51,0,0.51,0.397541471067942,0,0.397541471067942,0.454719435209141,0,0.454719435209141,"045",0,0,"Not Target"
27,1,0.47,0,0.47,0.612568047427273,0,0.612568047427273,0.404868185061772,0,0.404868185061772,"040",0,0,"Not Target"
28,2,0.31,0,0.31,0.439535848997022,0,0.439535848997022,0.395607783082385,0,0.395607783082385,"040",0,0,"Target"
29,2,0.01,0,0.01,0.472752424862559,0,0.472752424862559,0.591706406071438,0,0.591706406071438,"059",0,0,"Target"
30,1,0.25,0,0.25,0.68855661785884,0,0.68855661785884,0.638520594957008,0,0.638520594957008,"064",0,0,"Not Target"
31,1,0.14,0,0.14,0.5809165425063,0,0.5809165425063,0.482004445071304,0,0.482004445071304,"048",0,0,"Not Target"
32,1,0.04,0,0.04,0.31147159395236,0,0.31147159395236,0.379893277126119,0,0.379893277126119,"038",0,0,"Not Target"
33,1,0.8,0,0.8,0.590249132068555,0,0.590249132068555,0.44161028492719,0,0.44161028492719,"044",0,0,"Not Target"
34,1,0.27,0,0.27,0.807297208934403,0,0.807297208934403,0.449995921932263,0,0.449995921932263,"045",0,0,"Not Target"
35,2,0.22,0,0.22,0.389450229369013,0,0.389450229369013,0.428855902072543,0,0.428855902072543,"043",0,0,"Target"
36,1,0.82,0,0.82,0.452629730868578,0,0.452629730868578,0.44660111826232,0,0.44660111826232,"045",0,0,"Not Target"
37,2,0.14,0,0.14,0.49257014021578,0,0.49257014021578,0.442755634953886,0,0.442755634953886,"044",0,0,"Target"
38,2,0.27,0,0.27,0.47346013589926,0,0.47346013589926,0.470645003646929,0,0.470645003646929,"047",0,0,"Target"
39,2,0.51,0,0.51,0.436759957735878,0,0.436759957735878,0.545779772664503,0,0.545779772664503,"055",0,0,"Target"
40,2,0.98,0,0.98,0.36483084600931,0,0.36483084600931,0.46078316794551,0,0.46078316794551,"046",0,0,"Target"
41,2,0.14,0,0.14,0.418853633713964,0,0.418853633713964,0.405289398681004,0,0.405289398681004,"041",0,0,"Target"
42,1,0.43,0,0.43,0.517351293551225,0,0.517351293551225,0.426872962083693,0,0.426872962083693,"043",0,0,"Not Target"
43,2,0.91,0,0.91,0.474398981600732,0,0.474398981600732,0.486774552723488,0,0.486774552723488,"049",0,0,"Target"
44,1,0.91,0,0.91,0.405034968389295,0,0.405034968389295,0.576696512081857,0,0.576696512081857,"058",0,0,"Not Target"
45,1,0.4,0,0.4,0.640196669563379,0,0.640196669563379,0.463116962807736,0,0.463116962807736,"046",0,0,"Not Target"
46,1,0.56,0,0.56,0.542146645257966,0,0.542146645257966,0.400892025535645,0,0.400892025535645,"040",0,0,"Not Target"
47,2,0.06,0,0.06,0.531910821952096,0,0.531910821952096,0.510910200068299,0,0.510910200068299,"051",0,0,"Target"
48,1,0.77,0,0.77,0.587165990702179,0,0.587165990702179,0.408086095422734,0,0.408086095422734,"041",0,0,"Not Target"
49,1,0.44,0,0.44,0.274358536052643,0,0.274358536052643,0.571975283174802,0,0.571975283174802,"057",0,0,"Not Target"
50,1,0.37,0,0.37,0.743548406067446,0,0.743548406067446,0.500087239223019,0,0.500087239223019,"050",0,0,"Not Target"
51,1,0.26,0,0.26,0.578289874947735,0,0.578289874947735,0.403291865101513,0,0.403291865101513,"040",0,0,"Not Target"
52,1,0.6,0,0.6,0.672833023203438,0,0.672833023203438,0.413810479493217,0,0.413810479493217,"041",0,0,"Not Target"
53,1,0.18,0,0.18,0.487258578302881,0,0.487258578302881,0.401798053409841,0,0.401798053409841,"040",0,0,"Not Target"
54,2,0.96,0,0.96,0.574569675241221,0,0.574569675241221,0.600305274533203,0,0.600305274533203,"060",0,0,"Target"
55,1,0.61,0,0.61,0.3071307332218,0,0.3071307332218,0.395262165623383,0,0.395262165623383,"040",0,0,"Not Target"
56,1,0.65,0,0.65,0.679446506082459,0,0.679446506082459,0.361504869777422,0,0.361504869777422,"036",0,0,"Not Target"
57,1,0.11,0,0.11,0.6897067904,0,0.6897067904,0.613403288325984,0,0.613403288325984,"061",0,0,"Not Target"
58,1,0.11,0,0.11,0.66402396283149,0,0.66402396283149,0.422232061955199,0,0.422232061955199,"042",0,0,"Not Target"
59,2,0.11,0,0.11,0.252782920915041,0,0.252782920915041,0.443259568807,0,0.443259568807,"044",0,0,"Target"
60,2,0.95,0,0.95,0.60640969354532,0,0.60640969354532,0.570749539224896,0,0.570749539224896,"057",0,0,"Target"
61,1,0.78,0,0.78,0.421072379656556,0,0.421072379656556,0.455269174624185,0,0.455269174624185,"046",0,0,"Not Target"
62,1,0.29,0,0.29,0.397977503119527,0,0.397977503119527,0.317159354251076,0,0.317159354251076,"032",0,0,"Not Target"
63,1,0.76,0,0.76,0.543244452936924,0,0.543244452936924,0.532657006678093,0,0.532657006678093,"053",0,0,"Not Target"
64,1,0.45,0,0.45,0.490156719670265,0,0.490156719670265,0.387529013284586,0,0.387529013284586,"039",0,0,"Not Target"
65,2,0.68,0,0.68,0.463235300896761,0,0.463235300896761,0.509673340055626,0,0.509673340055626,"051",0,0,"Target"
66,1,0.28,0,0.28,0.747704759246227,0,0.747704759246227,0.672939658113028,0,0.672939658113028,"067",0,0,"Not Target"
67,1,0.62,0,0.62,0.388598312289214,0,0.388598312289214,0.526449646024121,0,0.526449646024121,"053",0,0,"Not Target"
68,1,0.3,0,0.3,0.53480807967969,0,0.53480807967969,0.378017229383009,0,0.378017229383009,"038",0,0,"Not Target"
69,1,0.26,0,0.26,0.547270153229864,0,0.547270153229864,0.484311219402428,0,0.484311219402428,"048",0,0,"Not Target"
70,2,0.74,0,0.74,0.514482454354159,0,0.514482454354159,0.495418142409847,0,0.495418142409847,"050",0,0,"Target"
71,1,0.29,0,0.29,0.284225982038946,0,0.284225982038946,0.357718479027614,0,0.357718479027614,"036",0,0,"Not Target"
72,2,0.93,0,0.93,0.464903544748044,0,0.464903544748044,0.661376846115239,0,0.661376846115239,"066",0,0,"Target"
73,1,0.35,0,0.35,0.356829482806605,0,0.356829482806605,0.46320230510789,0,0.46320230510789,"046",0,0,"Not Target"
74,2,0.28,0,0.28,0.700543029938936,0,0.700543029938936,0.499514005091751,0,0.499514005091751,"050",0,0,"Target"
75,1,0.16,0,0.16,0.687613565701126,0,0.687613565701126,0.415486027933593,0,0.415486027933593,"042",0,0,"Not Target"
76,1,0.66,0,0.66,0.425644039766975,0,0.425644039766975,0.453948838325014,0,0.453948838325014,"045",0,0,"Not Target"
77,2,0.9,0,0.9,0.405539032320731,0,0.405539032320731,0.484105881550381,0,0.484105881550381,"048",0,0,"Target"
78,1,0.13,0,0.13,0.443952304399782,0,0.443952304399782,0.426523064647635,0,0.426523064647635,"043",0,0,"Not Target"
79,1,0.32,0,0.32,0.501596586030628,0,0.501596586030628,0.420133080493102,0,0.420133080493102,"042",0,0,"Not Target"
80,2,0.16,0,0.16,0.551149474559837,0,0.551149474559837,0.50743541865468,0,0.50743541865468,"051",0,0,"Target"
81,2,0.99,0,0.99,0.442261220609509,0,0.442261220609509,0.557380435473617,0,0.557380435473617,"056",0,0,"Target"
82,1,0.06,0,0.06,0.50313080064968,0,0.50313080064968,0.421043075857054,0,0.421043075857054,"042",0,0,"Not Target"
83,1,0.8,0,0.8,0.754817849775828,0,0.754817849775828,0.497053133735144,0,0.497053133735144,"050",0,0,"Not Target"
84,1,0.73,0,0.73,0.477722598237881,0,0.477722598237881,0.368355842834644,0,0.368355842834644,"037",0,0,"Not Target"
85,2,0.62,0,0.62,0.410559029115967,0,0.410559029115967,0.643046713242839,0,0.643046713242839,"064",0,0,"Target"
86,1,0.97,0,0.97,0.685137884853362,0,0.685137884853362,0.452671638873577,0,0.452671638873577,"045",0,0,"Not Target"
87,1,0.06,0,0.06,0.597967211317782,0,0.597967211317782,0.506711940337619,0,0.506711940337619,"051",0,0,"Not Target"
88,2,0.26,0,0.26,0.567491897593179,0,0.567491897593179,0.462667202115216,0,0.462667202115216,"046",0,0,"Target"
89,1,0.6,0,0.6,0.395742105860547,0,0.395742105860547,0.445125726311284,0,0.445125726311284,"045",0,0,"Not Target"
90,2,1,0,1,0.684305239965251,0,0.684305239965251,0.488843681602535,0,0.488843681602535,"049",0,0,"Target"
91,1,0.91,0,0.91,0.284318498658455,0,0.284318498658455,0.426073404653957,0,0.426073404653957,"043",0,0,"Not Target"
92,1,0.71,0,0.71,0.516264968357838,0,0.516264968357838,0.456048693706396,0,0.456048693706396,"046",0,0,"Not Target"
93,1,0.48,0,0.48,0.606159848335923,0,0.606159848335923,0.346541661954254,0,0.346541661954254,"035",0,0,"Not Target"
94,1,0.19,0,0.19,0.661379484246966,0,0.661379484246966,0.422148389170531,0,0.422148389170531,"042",0,0,"Not Target"
95,1,0.86,0,0.86,0.604768015515534,0,0.604768015515534,0.444362647767434,0,0.444362647767434,"044",0,0,"Not Target"
96,1,0.26,0,0.26,0.606107332107637,0,0.606107332107637,0.487403759934352,0,0.487403759934352,"049",0,0,"Not Target"
97,1,0.83,0,0.83,0.47521768313512,0,0.47521768313512,0.51067834936077,0,0.51067834936077,"051",0,0,"Not Target"
98,1,0.94,0,0.94,0.525011225937711,0,0.525011225937711,0.405678359733929,0,0.405678359733929,"041",0,0,"Not Target"
99,2,0.72,0,0.72,0.367088632953556,0,0.367088632953556,0.480550660401476,0,0.480550660401476,"048",0,0,"Target"
100,1,0.18,0,0.18,0.574466205960937,0,0.574466205960937,0.454410284752648,0,0.454410284752648,"045",0,0,"Not Target"
101,1,0.71,0,0.71,0.482529607176989,0,0.482529607176989,0.395221656261954,0,0.395221656261954,"040",0,0,"Not Target"
102,1,0.12,0,0.12,0.573033527860257,0,0.573033527860257,0.539637973152179,0,0.539637973152179,"054",0,0,"Not Target"
103,2,0.67,0,0.67,0.449153691026307,0,0.449153691026307,0.4953989461202,0,0.4953989461202,"050",0,0,"Target"
104,1,0.74,0,0.74,0.443892543095502,0,0.443892543095502,0.420162665496036,0,0.420162665496036,"042",0,0,"Not Target"
105,1,1,0,1,0.434142379508688,0,0.434142379508688,0.42202179628958,0,0.42202179628958,"042",0,0,"Not Target"
106,1,0.31,0,0.31,0.676027144222435,0,0.676027144222435,0.515618981102435,0,0.515618981102435,"052",0,0,"Not Target"
107,1,0.03,0,0.03,0.535524610073795,0,0.535524610073795,0.498794683761955,0,0.498794683761955,"050",0,0,"Not Target"
108,1,0.7,0,0.7,0.556316388743203,0,0.556316388743203,0.441305077915476,0,0.441305077915476,"044",0,0,"Not Target"
109,1,0.04,0,0.04,0.573040554282047,0,0.573040554282047,0.371863578594024,0,0.371863578594024,"037",0,0,"Not Target"
110,1,0.44,0,0.44,0.402494313114302,0,0.402494313114302,0.558248997596592,0,0.558248997596592,"056",0,0,"Not Target"
111,1,0.04,0,0.04,0.522862573893865,0,0.522862573893865,0.471930960551754,0,0.471930960551754,"047",0,0,"Not Target"
112,2,0.9,0,0.9,0.626669289556365,0,0.626669289556365,0.646642547614827,0,0.646642547614827,"065",0,0,"Target"
113,2,0.02,0,0.02,0.670691584517215,0,0.670691584517215,0.508920305445862,0,0.508920305445862,"051",0,0,"Target"
114,1,0.38,0,0.38,0.625183025165997,0,0.625183025165997,0.49286378038553,0,0.49286378038553,"049",0,0,"Not Target"
115,1,0.98,0,0.98,0.394218571790298,0,0.394218571790298,0.428626292857792,0,0.428626292857792,"043",0,0,"Not Target"
116,1,0.96,0,0.96,0.304368595862433,0,0.304368595862433,0.466866603016044,0,0.466866603016044,"047",0,0,"Not Target"
117,1,0.38,0,0.38,0.588976124269851,0,0.588976124269851,0.398679196604329,0,0.398679196604329,"040",0,0,"Not Target"
118,1,0.56,0,0.56,0.526042761612665,0,0.526042761612665,0.379033380421846,0,0.379033380421846,"038",0,0,"Not Target"
119,2,0.83,0,0.83,0.53049658746251,0,0.53049658746251,0.50479446963874,0,0.50479446963874,"050",0,0,"Target"
120,1,0.53,0,0.53,0.663436347571608,0,0.663436347571608,0.391756433847838,0,0.391756433847838,"039",0,0,"Not Target"
121,1,0.22,0,0.22,0.466368019967222,0,0.466368019967222,0.445091106767735,0,0.445091106767735,"045",0,0,"Not Target"
122,2,0.86,0,0.86,0.735707925499671,0,0.735707925499671,0.486266963267319,0,0.486266963267319,"049",0,0,"Target"
123,1,0.34,0,0.34,0.526611670117174,0,0.526611670117174,0.402843202270078,0,0.402843202270078,"040",0,0,"Not Target"
124,1,0.44,0,0.44,0.483484095519535,0,0.483484095519535,0.408676782265622,0,0.408676782265622,"041",0,0,"Not Target"
125,1,0.93,0,0.93,0.603016448905297,0,0.603016448905297,0.512999289374614,0,0.512999289374614,"051",0,0,"Not Target"
126,2,0.91,0,0.91,0.710042176643343,0,0.710042176643343,0.543785722512936,0,0.543785722512936,"054",0,0,"Target"
127,2,0.87,0,0.87,0.394143538846039,0,0.394143538846039,0.595886505111879,0,0.595886505111879,"060",0,0,"Target"
128,1,0.47,0,0.47,0.42230172632942,0,0.42230172632942,0.529893785718109,0,0.529893785718109,"053",0,0,"Not Target"
129,1,0.62,0,0.62,0.480818655209413,0,0.480818655209413,0.45399590386439,0,0.45399590386439,"045",0,0,"Not Target"
130,1,0.64,0,0.64,0.363922513794692,0,0.363922513794692,0.524761039389701,0,0.524761039389701,"052",0,0,"Not Target"
131,2,0.04,0,0.04,0.436129042767982,0,0.436129042767982,0.39521783673122,0,0.39521783673122,"040",0,0,"Target"
132,1,0.62,0,0.62,0.407309791095056,0,0.407309791095056,0.383948261603791,0,0.383948261603791,"038",0,0,"Not Target"
133,1,0.5,0,0.5,0.525814628642318,0,0.525814628642318,0.477965412793808,0,0.477965412793808,"048",0,0,"Not Target"
134,1,0.14,0,0.14,0.510537424690501,0,0.510537424690501,0.401103808751834,0,0.401103808751834,"040",0,0,"Not Target"
135,1,0.39,0,0.39,0.658913454352235,0,0.658913454352235,0.430180556937891,0,0.430180556937891,"043",0,0,"Not Target"
136,1,0.11,0,0.11,0.439629675845634,0,0.439629675845634,0.427934598488092,0,0.427934598488092,"043",0,0,"Not Target"
137,2,0.23,0,0.23,0.369249721392278,0,0.369249721392278,0.560408076079222,0,0.560408076079222,"056",0,0,"Target"
138,1,0.52,0,0.52,0.467675096495985,0,0.467675096495985,0.411166574590615,0,0.411166574590615,"041",0,0,"Not Target"
139,1,0.03,0,0.03,0.374973648942976,0,0.374973648942976,0.417116028414569,0,0.417116028414569,"042",0,0,"Not Target"
140,1,0.45,0,0.45,0.529402833179739,0,0.529402833179739,0.373033925063597,0,0.373033925063597,"037",0,0,"Not Target"
141,2,0.43,0,0.43,0.458532988313837,0,0.458532988313837,0.622429457575201,0,0.622429457575201,"062",0,0,"Target"
142,2,0.23,0,0.23,0.409968284254679,0,0.409968284254679,0.513757954027137,0,0.513757954027137,"051",0,0,"Target"
143,2,0.13,0,0.13,0.3689952959382,0,0.3689952959382,0.34501706287356,0,0.34501706287356,"035",0,0,"Target"
144,2,0.93,0,0.93,0.388356004442601,0,0.388356004442601,0.485367647819495,0,0.485367647819495,"049",0,0,"Target"
145,2,0.59,0,0.59,0.458929953222525,0,0.458929953222525,0.572731291428686,0,0.572731291428686,"057",0,0,"Target"
146,1,0.06,0,0.06,0.414712893139161,0,0.414712893139161,0.397901916682751,0,0.397901916682751,"040",0,0,"Not Target"
147,2,0.35,0,0.35,0.49758888858958,0,0.49758888858958,0.469822495878898,0,0.469822495878898,"047",0,0,"Target"
148,1,0.12,0,0.12,0.503820997849652,0,0.503820997849652,0.377388842869691,0,0.377388842869691,"038",0,0,"Not Target"
149,2,0.93,0,0.93,0.431774717202629,0,0.431774717202629,0.484710378153688,0,0.484710378153688,"048",0,0,"Target"
150,1,0.11,0,0.11,0.501587803871775,0,0.501587803871775,0.379010097536098,0,0.379010097536098,"038",0,0,"Not Target"
151,1,0.68,0,0.68,0.614732927624801,0,0.614732927624801,0.403488043167526,0,0.403488043167526,"040",0,0,"Not Target"
152,1,0.32,0,0.32,0.564314608475257,0,0.564314608475257,0.356323304337476,0,0.356323304337476,"036",0,0,"Not Target"
153,1,0.43,0,0.43,0.582945130128356,0,0.582945130128356,0.468590559121646,0,0.468590559121646,"047",0,0,"Not Target"
154,1,0.47,0,0.47,0.589457074886649,0,0.589457074886649,0.589558991996844,0,0.589558991996844,"059",0,0,"Not Target"
155,2,0.28,0,0.28,0.710773671506124,0,0.710773671506124,0.40553616836304,0,0.40553616836304,"041",0,0,"Target"
156,1,0.7,0,0.7,0.393434594797096,0,0.393434594797096,0.323910633942283,0,0.323910633942283,"032",0,0,"Not Target"
157,1,0.88,0,0.88,0.720414859388622,0,0.720414859388622,0.473701243988554,0,0.473701243988554,"047",0,0,"Not Target"
158,1,0.7,0,0.7,0.620420158727674,0,0.620420158727674,0.48550551001645,0,0.48550551001645,"049",0,0,"Not Target"
159,1,0.33,0,0.33,0.437137051521051,0,0.437137051521051,0.573831553144181,0,0.573831553144181,"057",0,0,"Not Target"
160,1,0.28,0,0.28,0.332447063536727,0,0.332447063536727,0.423321609655192,0,0.423321609655192,"042",0,0,"Not Target"
161,1,0.78,0,0.78,0.386710255590529,0,0.386710255590529,0.415563319814285,0,0.415563319814285,"042",0,0,"Not Target"
162,1,0.26,0,0.26,0.36645440053857,0,0.36645440053857,0.382061899284946,0,0.382061899284946,"038",0,0,"Not Target"
163,1,0.74,0,0.74,0.50623215811902,0,0.50623215811902,0.481716356799263,0,0.481716356799263,"048",0,0,"Not Target"
164,1,0.29,0,0.29,0.528230267404799,0,0.528230267404799,0.429905980680567,0,0.429905980680567,"043",0,0,"Not Target"
165,1,0.29,0,0.29,0.485477940495089,0,0.485477940495089,0.502168511599931,0,0.502168511599931,"050",0,0,"Not Target"
166,1,0.87,0,0.87,0.419874868140686,0,0.419874868140686,0.360919653583931,0,0.360919653583931,"036",0,0,"Not Target"
167,2,0.63,0,0.63,0.4510705644974,0,0.4510705644974,0.335601044148407,0,0.335601044148407,"034",0,0,"Target"
168,2,0.88,0,0.88,0.477299233220484,0,0.477299233220484,0.537215902207139,0,0.537215902207139,"054",0,0,"Target"
169,1,0.04,0,0.04,0.990777847670127,0,0.990777847670127,0.483230932734538,0,0.483230932734538,"048",0,0,"Not Target"
170,1,0.49,0,0.49,0.433598038089876,0,0.433598038089876,0.457788389811594,0,0.457788389811594,"046",0,0,"Not Target"
171,2,0.96,0,0.96,0.667406525321733,0,0.667406525321733,0.40104997698616,0,0.40104997698616,"040",0,0,"Target"
172,1,0.2,0,0.2,0.582290324821895,0,0.582290324821895,0.471181908613706,0,0.471181908613706,"047",0,0,"Not Target"
173,1,0.87,0,0.87,0.547333717953643,0,0.547333717953643,0.41138194123481,0,0.41138194123481,"041",0,0,"Not Target"
174,2,0.32,0,0.32,0.444537870006527,0,0.444537870006527,0.41082862410415,0,0.41082862410415,"041",0,0,"Target"
175,1,0.53,0,0.53,0.408863455216938,0,0.408863455216938,0.397185759856792,0,0.397185759856792,"040",0,0,"Not Target"
176,2,0.83,0,0.83,0.742877782884969,0,0.742877782884969,0.434779660785259,0,0.434779660785259,"043",0,0,"Target"
177,1,0.75,0,0.75,0.443761125775556,0,0.443761125775556,0.444704775829819,0,0.444704775829819,"044",0,0,"Not Target"
178,1,0.24,0,0.24,0.567721437313504,0,0.567721437313504,0.371317857001603,0,0.371317857001603,"037",0,0,"Not Target"
179,2,0.99,0,0.99,0.479884656972909,0,0.479884656972909,0.484190772040467,0,0.484190772040467,"048",0,0,"Target"
180,1,0.16,0,0.16,0.277844070073304,0,0.277844070073304,0.5055715726562,0,0.5055715726562,"051",0,0,"Not Target"
181,1,0.84,0,0.84,0.498805761803817,0,0.498805761803817,0.484973429859471,0,0.484973429859471,"048",0,0,"Not Target"
182,2,0.8,0,0.8,0.455878809063339,0,0.455878809063339,0.367322428691244,0,0.367322428691244,"037",0,0,"Target"
183,1,0.36,0,0.36,0.401632327221052,0,0.401632327221052,0.448917923985345,0,0.448917923985345,"045",0,0,"Not Target"
184,2,0.89,0,0.89,0.61655367820279,0,0.61655367820279,0.59446708823081,0,0.59446708823081,"059",0,0,"Target"
185,1,0.84,0,0.84,0.608175299835305,0,0.608175299835305,0.567232793768125,0,0.567232793768125,"057",0,0,"Not Target"
186,1,0.04,0,0.04,0.453107116275894,0,0.453107116275894,0.559068511101729,0,0.559068511101729,"056",0,0,"Not Target"
187,1,0.85,0,0.85,0.59847836239815,0,0.59847836239815,0.416004345453601,0,0.416004345453601,"042",0,0,"Not Target"
188,1,0.4,0,0.4,0.546543916628102,0,0.546543916628102,0.506388287249571,0,0.506388287249571,"051",0,0,"Not Target"
189,1,0.1,0,0.1,0.71688093104951,0,0.71688093104951,0.432660126172496,0,0.432660126172496,"043",0,0,"Not Target"
190,2,0.05,0,0.05,0.454560061089711,0,0.454560061089711,0.342545557455626,0,0.342545557455626,"034",0,0,"Target"
191,1,0.75,0,0.75,0.498969261463494,0,0.498969261463494,0.475548809936102,0,0.475548809936102,"048",0,0,"Not Target"
192,2,0.89,0,0.89,0.691707442114216,0,0.691707442114216,0.444510990321763,0,0.444510990321763,"044",0,0,"Target"
193,1,0.8,0,0.8,0.65143400666055,0,0.65143400666055,0.437229297394239,0,0.437229297394239,"044",0,0,"Not Target"
194,2,0.46,0,0.46,0.710011520289531,0,0.710011520289531,0.475233995155771,0,0.475233995155771,"048",0,0,"Target"
195,2,0.02,0,0.02,0.728471734167667,0,0.728471734167667,0.358842620053896,0,0.358842620053896,"036",0,0,"Target"
196,1,0.14,0,0.14,0.400005938107217,0,0.400005938107217,0.436913990237726,0,0.436913990237726,"044",0,0,"Not Target"
197,1,0.19,0,0.19,0.556113925089862,0,0.556113925089862,0.711945290079052,0,0.711945290079052,"071",0,0,"Not Target"
198,1,0.88,0,0.88,0.487769626682325,0,0.487769626682325,0.463785752470263,0,0.463785752470263,"046",0,0,"Not Target"
199,1,0.23,0,0.23,0.42425087772115,0,0.42425087772115,0.559347590491733,0,0.559347590491733,"056",0,0,"Not Target"
200,1,0.47,0,0.47,0.533635889296197,0,0.533635889296197,0.416606264411466,0,0.416606264411466,"042",0,0,"Not Target"
201,1,0.37,0,0.37,0.467227869729466,0,0.467227869729466,0.296129651240867,0,0.296129651240867,"030",0,0,"Not Target"
202,1,0.08,0,0.08,0.523120370738988,0,0.523120370738988,0.378879367071089,0,0.378879367071089,"038",0,0,"Not Target"
203,1,0.77,0,0.77,0.438187779429653,0,0.438187779429653,0.436200101134625,0,0.436200101134625,"044",0,0,"Not Target"
204,1,0.56,0,0.56,0.527137163212757,0,0.527137163212757,0.387915798893983,0,0.387915798893983,"039",0,0,"Not Target"
205,2,0.31,0,0.31,0.532590701407579,0,0.532590701407579,0.54148155496047,0,0.54148155496047,"054",0,0,"Target"
206,1,0.72,0,0.72,0.614367795899988,0,0.614367795899988,0.368651404690126,0,0.368651404690126,"037",0,0,"Not Target"
207,1,0.17,0,0.17,0.686791614632229,0,0.686791614632229,0.528312253878462,0,0.528312253878462,"053",0,0,"Not Target"
208,1,0.59,0,0.59,0.357577071995912,0,0.357577071995912,0.403935138279354,0,0.403935138279354,"040",0,0,"Not Target"
209,1,0.74,0,0.74,0.65940784070527,0,0.65940784070527,0.51439327518479,0,0.51439327518479,"051",0,0,"Not Target"
210,2,0.69,0,0.69,0.440404527138839,0,0.440404527138839,0.477461385162964,0,0.477461385162964,"048",0,0,"Target"
211,1,0.86,0,0.86,0.758904511274933,0,0.758904511274933,0.438592883417225,0,0.438592883417225,"044",0,0,"Not Target"
212,2,0.31,0,0.31,0.527197944200102,0,0.527197944200102,0.590794703013685,0,0.590794703013685,"059",0,0,"Target"
213,1,0.62,0,0.62,0.523073950523256,0,0.523073950523256,0.459772162761909,0,0.459772162761909,"046",0,0,"Not Target"
214,1,0.69,0,0.69,0.376441925597483,0,0.376441925597483,0.580010707239443,0,0.580010707239443,"058",0,0,"Not Target"
215,1,0.59,0,0.59,0.370266251490373,0,0.370266251490373,0.429387921645573,0,0.429387921645573,"043",0,0,"Not Target"
216,1,0.51,0,0.51,0.471829740857706,0,0.471829740857706,0.420552640738758,0,0.420552640738758,"042",0,0,"Not Target"
217,1,0.2,0,0.2,0.469173864996141,0,0.469173864996141,0.487401936401652,0,0.487401936401652,"049",0,0,"Not Target"
218,1,0.99,0,0.99,0.46871883087979,0,0.46871883087979,0.411150672606918,0,0.411150672606918,"041",0,0,"Not Target"
